TargetPath,Url,TotalBytes,StartTime,EndTime,MimeType
C:\Users\haohao\Downloads\BK2.2.1.3.3.4.apk,https://developer.lanzoug.com/file/?UzVaZAEwAzIJAAoyBTBXOwA/BT0FGAtCBTBTe1wyVXoFNFojAG4EfgZjUSkCYgItUWoPegM3VnIEZVE+UmJWMlMMWmQBOANqCWwKZAVmV2YAbwUzBW4LMAUkUzNcc1VpBTRaPgBpBGgGaVE3AmECMlEtD3oDLFZpBDFRZ1I8VmZTfFo9AW4DeAltCm4Fflc0AGoFOQU5CzkFOlNsXDNVZwU2Wj4AbQQ1BmZRPwJmAmJRPA85A2RWZwRiUWNSPVZmU2JaPgE/A2QJOgprBWVXeAA7BXAFMQsvBXdTJlxlVSYFbFppAGAEYQZgUTACZQI3UTgPOwN6ViAEalE6UmtWMVNuWjwBagNjCWcKbwVkV2EAbAU3BW0LJwUsU3NcZlU4BXJaMABsBGYGZFE/AmUCNlE9DzsDaFZnBCVRIlJ+ViBTblo8AWoDZglrCmwFYVdkAGoFNwVsCy8Fd1M8XHBVaQU0WjwAawR+BmJRPwJ4AjBRMg8kA29WbQ==,13489071,2022-03-27T04:53:35.574485+08:00,2022-03-27T04:53:54.504572+08:00,application/vnd.android.package-archive
C:\Users\haohao\Downloads\File-Download_579252828.zip,https://nforaram.tk/File-Download_579252828.zip/27fc88d90fa934db100d362dfee29fe6lmyWURyJSIvsZjhtZ9Bw1ruw2pUcX4psOxZ-s8AUURUQ.html1,9478126,2021-10-08T07:11:03.758369+08:00,2021-10-08T07:11:38.235735+08:00,application/zip
C:\Users\haohao\Downloads\Pandora_b9.rar,http://www.mediafire.com/file/gw95f2774wkgsgk/Pandora_b9.rar/file,7830230,2021-06-21T05:41:00.391811+08:00,2021-06-21T05:42:02.837913+08:00,application/x-rar
C:\Users\haohao\Downloads\JiJiDown_setup.exe,http://clientfile.jijidown.com/PC/WPF/JiJiDown_setup.exe?NvZhuangstatus=10368344,1565184,2022-04-08T03:50:41.966131+08:00,2022-04-08T03:50:44.846747+08:00,application/octet-stream
C:\Users\haohao\Downloads\JiJiDown_setup (1).exe,http://clientfile.jijidown.com/PC/WPF/JiJiDown_setup.exe?NvZhuangstatus=10368344,1565184,2022-04-08T03:50:51.77714+08:00,2022-04-08T03:50:56.652248+08:00,application/octet-stream
C:\Users\haohao\Downloads\Lunar Client v2.7.5.exe,https://www.lunarclient.com/download/,761192,2021-08-19T10:03:03.116949+08:00,2021-08-19T10:03:06.101245+08:00,application/octet-stream
C:\Users\haohao\Downloads\1.8.9 Ghost Client.zip,http://www.mediafire.com/file/lyygaoy3246cxxb/1.8.9_Ghost_Client.zip/file,465395,2021-06-22T05:08:47.386735+08:00,2021-06-22T05:08:52.301354+08:00,application/zip
C:\Users\haohao\Downloads\Sumo Client.rar,http://www.mediafire.com/file/n1c9hjtxy3uynn1/Sumo_Client.rar/file,149553,2021-05-18T16:07:47.159044+08:00,2021-05-18T16:07:59.723416+08:00,application/x-rar
C:\Users\haohao\Downloads\Gucci Client.rar,http://www.mediafire.com/file/lmse8chkxjqu9zy/Gucci_Client.rar/file,48777,2021-05-18T16:08:08.839058+08:00,2021-05-18T16:08:12.616572+08:00,application/x-rar
C:\Users\haohao\Downloads\Gucci Client (1).rar,http://www.mediafire.com/file/lmse8chkxjqu9zy/Gucci_Client.rar/file,48777,2021-05-18T16:10:39.349826+08:00,2021-05-18T16:10:43.284472+08:00,application/x-rar
