IsMeta,URL,Key,Value
false,,,[1]
false,chrome-devtools://devtools,experiments,[{}]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_br_de_l,[bnVsbA==]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_br_de_up_b,[0]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_fe_l,[bnVsbA==]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_g_p,[1]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_gu_u,[5676A8AD80C0F8E110B756C08E1B49BB]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_it_tr_up_b,[0]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_mo_d,[eyJwYWdlUHJlIjpudWxsLCJzdGF0ZSI6MCwiY29sbGVjdCI6W10sInBhZ2UiOiJhc3Npc3QiLCJ0YWJVcmwiOm51bGwsImRhdGEiOm51bGwsImV4dGVybmFsIjpmYWxzZX0=]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_s1_srdc,[0]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_sl_atc,[0]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_sl_ctc,[0]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_sl_dtc,[0]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_sl_ftc,[0]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_sl_rps,[1]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,_sl_tvs,[1.3.1]
false,chrome-extension://aifnnadinfigadigmgekcleoiploenke,p_c_e,[0]
false,chrome-extension://bcminheohfhgipbdbabfjdbolbcmobeh,__BEACON_00300EMEH839B0XF_4.5.1-web-beta_direct_log_id,[214]
false,chrome-extension://bcminheohfhgipbdbabfjdbolbcmobeh,__BEACON_00300EMEH839B0XF_4.5.5-web_direct_log_id,[445]
